"ID","goal","enddate","startdate","coinNum","teamSize","country_region","categories","overallrating","ratingTeam","ratingProduct","platform","acceptingCurrencyNum","whitepaper","video","socialMedia","GitHub","teamLinkedIn","teamPhotos","CEOPhoto","bitcoin.price","continent_region","duration"
793,"Y",2017-10-12,2017-09-12,331700000,12,"Russia","Cryptocurrency",3.6,4.6,4.2,"Waves","5",1,1,0,0,0.5,1,0,4137.625173,"Europe",30
794,"N",2018-01-31,2017-12-12,0,7,"Germany","Cryptocurrency,Entertainment",3.5,3,4,"Ethereum","5",1,1,0,1,1,1,1,14245.02746,"Europe",50
795,"N",2017-11-01,2017-10-01,6.5e+07,3,"Germany","Software",2,0,0,"Waves","3",1,0,0,0,1,1,0,5404.047806,"Europe",31
796,"N",2017-12-01,2017-10-15,0,6,"Thailand","Real estate",2.4,1,1,"Ethereum","1",1,0,0,1,0.5,1,0,7190.185791,"Asia",47
797,"Y",2017-12-05,2017-11-06,1e+08,9,"Singapore","Platform,Other",3.4,3.6,3,"Ethereum","1",1,1,3,0,1,1,0,8516.67863,"Asia",29
798,"Y",2018-04-25,2018-03-25,4.2e+10,21,"Switzerland","Platform,Infrastructure",4,4.4,3.7,"Ethereum","1",1,1,3,1,0.86,1,0,7757.92749,"Europe",31
799,"N",2018-01-31,2017-12-18,3.5e+08,8,"Ukraine","Casino & Gambling",2.6,3.4,2.4,"Ethereum","1",1,0,0,0,0.5,1,0,13772.52665,"Europe",44
800,"N",2018-04-29,2018-03-01,4e+09,3,"UK","Software",2.3,0,0,"Ethereum","1",1,0,0,0,0,1,0,8533.743652,"Europe",59
801,"N",2018-05-30,2018-04-16,355200000,13,"Philippines","Platform",2.5,0,0,"Ethereum","3",1,0,0,0,0.69,1,1,8604.442426,"Asia",44
802,"N",2018-01-30,2017-12-01,0,3,"Canada","Platform,Retail",1.8,0,0,"Ethereum","1",1,1,0,0,0.67,1,0,14254.97707,"Americas",60
803,"Y",2018-05-01,2018-03-31,3.5e+08,15,"Estonia","Health",4.1,4.1,3.5,"Ethereum","2",1,1,2,1,0.8,1,0,8034.388702,"Europe",31
804,"N",2017-12-05,2017-10-24,1.5e+08,18,"USA","Software,Media,Communication",3,0,0,"NEM","unknown",1,0,0,0,0.44,1,0,7879.309968,"Americas",42
805,"Y",2017-08-16,2017-08-01,1.4e+13,3,"China","Platform",3,3,3,"Ethereum","unknown",1,0,3,1,0,1,1,3475.706848,"Asia",15
806,"Y",2017-01-06,2016-11-18,1e+08,14,"Switzerland","Platform",3.4,4.7,5,"Ethereum","1",1,1,0,0,0.62,0.92,0,828.799519,"Europe",49
807,"N",2018-03-26,2018-01-15,1.8e+07,8,"USA","Platform,Cryptocurrency,Software,Internet,Media,Smart Contract,Communication,Education",4.3,4.3,4.3,"Ethereum","1",1,1,0,1,1,1,1,9903.906113,"Americas",70
808,"N",2018-03-26,2018-02-26,0,6,"USA","Business services,Communication,Platform",2.3,0,0,"Ethereum","1",1,0,0,1,0.5,0.5,1,9480.351731,"Americas",28
809,"Y",2017-10-26,2017-09-21,1.4e+08,18,"Netherlands","Business services,Platform",3.1,4.2,4.2,"Ethereum","2",1,1,0,1,0.76,1,0,4869.667501,"Europe",35
810,"Y",2017-08-31,2017-07-15,1.34e+09,5,"India","Cryptocurrency,Investment",2.4,5,4,"Ethereum","1",1,0,0,0,1,1,1,3412.219162,"Asia",47
811,"Y",2018-04-30,2018-03-15,7200000,18,"United Arab Emirates","Energy,Investment",3.5,4.5,3.4,"Ethereum","3",1,1,3,1,0.78,1,1,8086.377223,"Asia",46
812,"N",2018-02-24,2017-12-26,0,6,"Canada","Charity,Health",2.1,2.8,1.5,"Ethereum","2",1,0,0,0,0,1,0,11770.8689,"Americas",60
813,"N",2018-05-05,2018-03-10,1e+07,8,"Czechia","Entertainment,Platform",2.1,3,2,"Ethereum","1",1,0,0,1,1,1,0,8295.295419,"Europe",56
814,"Y",2017-10-16,2017-09-16,5e+07,10,"Singapore","Cryptocurrency,Platform,Investment,Banking,Real estate",3.5,4,3.3,"Ethereum","1",1,1,1,0,1,1,0,4398.170646,"Asia",30
815,"N",2017-11-14,2017-10-14,18200000,13,"Greece","Platform,Software,Business services",2.5,0,0,"unknown","1",1,0,0,1,0.38,1,0,6322.609665,"Europe",31
